"Business Object","Workday ID"
"Leave Type","330c28b1026347ff98a465a166493d8b"
"Worker Status","d53f2ca8dbd04428b709ab19230adfa5"
"Leave Request Event","f4ebb9a5683b4ad2865076bcd710c1e2"
"Leave Return Event","2fdacad01ee84f19af46047d6fcc2cbf"
"Leave of Absence Event","9dedafe7ada8438abc1992cf92af8623"
"Responsibility Achievement","80988a48c2c0485b9ee7a8acba7a0e11"
"OMS Version","569aa13a7fdc41a6916aa0c514877caf"
"Life Change Event","af23f939628e452cb4d728a565fedb98"
"Integration Identifier","4fcdba4de94247439ea83b58a14dfd75"
"Integratable","0b21577e52734760a40a1c78a2927920"
"Integration System","20b13fc4e11a4d2e857f4dc15cb39396"
"Skill Qualification Enabled","8276a0d49012467dadebb2139221da69"
"Stock Unit Plan","0632c03c87564b9a98d9ae927dda15ce"
"Stock Grant","f437a2e0121f4b90911a13c50befaf29"
"Stock Grant Event","ec810659cc59476e99b87651ff101e1d"
"Beneficiary Allocation","6c4d6311d06c4c68bcba4c53afbdf994"
"Time Off Event","8eff8c09f9194ef0accdb1cfd7dbd386"
"Time Off Entry","d11c56ad0b484de89740c38bcf75857b"
"Exit Interview","53d73f721923476998032c98173aa713"
"Employee Review Template","df1efa095dd14dea896ed06ca590dc46"
"Performance Review","bcb61475997846a2a3bb313510d5cfec"
"Review Component","fda5a284ba0142f087cab44963537170"
"Review Accomplishment","c90ffec0803842888b409ff6ef0c30d9"
"Review Responsibility","6a94bbd15f494cbd81d45640a520e2c7"
"Review Goal","0777604f392a495eb6be6fa312bfdfe9"
"Review Development Area","bdf7824770074df5bbc79c0947c4716e"
"Payroll Interface Data Change Event","12fd0ed161b04095a9e1f49c1bd940ad"
"Employee Compensation Event For Position Group Default","be09c87635914d7c8a1a3b9b0711592e"
"Retirement Savings Coverage Type","f472cfd936bb4a8b8bac0511b54c52c4"
"Retirement Savings Plan","ddea82803835432ab22806a015dabb25"
"Ledger Account","62820f27a3834408ab48eb58e47eca10"
"Ledger Account and Ledger Account Summary","8af9b2dcd55545299bec3d8441ebda27"
"Item Descriptor","fb26e69b604e47f790fa50b927869c87"
"Retirement Savings Election","de2b3b5991604278b704f09137b60959"
"Ledger Account Summary","dae3a4965d294d69a07c9a218eb2c389"
"Workflow Role","3e5ce9ba9e3946afb0883c735af73fea"
"Business Process Definition","9884ac9c6bbd45c1b5255aa6a01b6288"
"Workflow Step","13a94d67e8064ff0a4d0b9a11faa30b9"
"Workflow Notification","8da52b3bebe74595945838ce7fd51ffb"
"To Do","39286c1329bb45e1a5ff06b068e10800"
"Approval Event","c3b044f92ee1424ba81ad513e98df3d1"
"To Do Event","30aa2305fcab4a8b8c8f3531991142a7"
"Change Workday Account Name","1b8ce59f03074c66a1be5664c0653ef5"
"Event Record","7ad3143787b64ee8937b33fbc1198356"
"Revenue Category","2b72042e09894a7ea5539057db5111bb"
"Spend Category","497007acedce403d8d685eece0165e2c"
"Sales Item","23d4c51944a84df899c29807f8909ad7"
"Purchase Item","3e0ca6e4e54944798e56b0aeaebc3f38"
"One-Time Payment Plan","64bbd6d093c744c9bdf5362919105458"
"One-Time Payment Plan Event For Employment","494c966993b64402a4b7ec0947be4b4e"
"One-Time Payment Event","7d4351f104b443938b297aec9b0476b3"
"One-Time Payment","6388a73c03344340adb5f686b540474d"
"Aging Category","f62d04613088425f87efd43fa99f0945"
"Tax Code","8c9b14906a2841c295289729c62214f2"
"Bank Account","5ffaf1a0e4ba406897b0361c69125696"
"Attachment","9820603f8ac34a0597e9eb4328b39c0c"
"Fiscal Period","bcfed7e07d47488e84fe0d8f59736a83"
"Person Data Event","371f70d0a3ee47dc806966b93eba1858"
"Event","5e59762f805b42169517da44d3232292"
"Job Previous System History","8619c59fe0f44b448be785e77834e8e9"
"Compensation History from Previous System","49d658430e4a446196827f360d8f89d4"
"Journal Entry","ae959bf95158474db2c13e08e40d4075"
"Journal Line","03fda8a7e4b44db681550e0de0c302e6"
"Journal","5c741958688641aebefc39f40787669f"
"Journal Source","2624072576e6457494e621ae52057d58"
"Reorganization","a44dc11959c94e15a40a6b9f79b8b0a3"
"Business Process Type","8d9c0760b50741aab1ea0da56a6df548"
"Pre-Hire Qualification","6b1d10467f73415896eaa08a27d2f8ba"
"Pre-Hire Qualification Status","2c644b9102c9465ea6f866ee1922e6a8"
"Correction Event","f28ffe7646134823be4e69dce4074f11"
"Business Document","671982cdecf446ac8697caff48929d57"
"Business Document Line","6fb88264164948bdbea79a655a58b939"
"Supplier Invoice Line","0eb4f99f306d4adf92bfd16ad28b800f"
"Invoice Document","8e80996fd2524cb8822567b680119004"
"Supplier Invoice","aa764421240743f1895c229353dbb720"
"Invoice Adjustment","70c98f114b1643c38c4bcecd99c0ba8f"
"Supplier Invoice Adjustment","380cac42f9b14b75925451ad3a6a12b0"
"COBRA Eligibility Status","b74eb23841bf4e6fbdd3236ba2adb52c"
"Supplier Payment","df408863f32940ae83acc2902fe0dbe4"
"Supplier Payment Application","a7982476c9174cbb972002f892390c58"
"COBRA Eligibility Reason","01608b2ca99948a98274a7e4711831b4"
"Payment Group","dfd7282ef8584ed1ad2c75c6a9b19069"
"Ad Hoc Payment","44f8cc6d41f74e46a955e1b625c5ee36"
"Supplier Payment (Use Subclasses)","9faa1f411d2a470cb2769e2890878686"
"Benefit Plan Eligibility Rule","00e2ee61e69a43338c64737146f87842"
"Financial Statement Line","b3f38d35412e431cb5263d6b87e4e365"
"Customer Invoice","831ed0f7547f40e585cf718374ab63de"
"Benefit Coverage Type","a92ca6cf1e03434ca839a97b378b191b"
"Benefit Event Type","394687231cb341919dea57d1e1b384d8"
"Customer Invoice Adjustment","8c8d83be52054ca48f44d3ff9e4d701f"
"Customer Payment","d7636cdbdb9a470683fd4583eef12bed"
"Customer Payment for Invoices","a9ba2e1d389a4795b0c269085cd7ed96"
"Customer Deposit","6574bb9e8e01424c80b5e95b61036621"
"Payment Application","a8fcf044366c4b7b84abede1f60065ec"
"Customer Payment Application","09732b49a8374418a43035f2985665e8"
"Subscription","daeac52a9a1b448180b14bbbc2919277"
"Position Edit Event","a2eb1426e8d6448cb86863137fed02ad"
"Evaluation Event","230a708d44904934a4e7a4b7b3a96c6c"
"Customer Bad Debt Writeoff","8512d8de0bb94f81978c4ae3e51e32ec"
"Payable Document Writeoff","33047874670c46a199253e8ef32ae5c1"
"Cash Sale","d7cb867d3dfe42f7b2362158ea654e96"
"Communication Method","86078a1cf7dc425796afa469e1679736"
"Assign Organization","2625ded63a974be3967766c42abf6a8f"
"Ledger Posting Interval","c3d2f8bb70be4571af438b50239dbad7"
"Composite Identifier Event","8b0908205e12412ba23bf9cb67f618d9"
"Supervisory Organization Amount Allocation","4bc73acb7a9e4fb69d34dda1248ee7e1"
"Reporting Transaction","7b68f813fd6c44b5a5c4d95c11970809"
"Image","de742c91a8d6486b87fd2518e0c37189"
"Implementation Component","d0677be5454d40de82d70b5807b977e5"
"Layout","08762db601224e3396e03195298f13e1"
"Operational Transaction","227941305c5340169c14a009d147d60e"
"Customer Invoice Event","c967f9ff40aa48b4b8beae3c121cc69e"
"Supplier Invoice Event","8fe8257b729b429392441658e34c15fd"
"Accounting Journal Event","aa50c0d0c97b4a84ba6b06ca2937d30e"
"Bank Statement","5c3d0177ac6240e1bb23e3867736d2c7"
"Reconcilable Item","720a0db257b04ec5b8aaa3d1bfacb631"
"Bank Account Transfer","cd3244598c4a4daf9bab6ebc1fc92aa8"
"Worker Business Process","5da9c740224d48439a597dd62163cbff"
"Business Title Change Event","a886894e1032433184ef9a729814ad94"
"Date of Birth Change Event","270b82bab97f44febf194e5b01d8fb8d"
"Marital Status Change Event","afc6c7c3b6bc4359a81608e4c0254b43"
"Legal Name Change Event","c9bbdbdf122949dd892525c5e2c68ea7"
"Related Link","fdfe627359bc4a38be36b0b00e46bb88"
"Termination Subcategory","65a73b18b4fd490e906a7e33a5251ab6"
"Financial Account","99ea7151f19f4fe8adb12b5c558cd85e"
"Petty Cash Bank Account","c8eb3d32e879405791b9032083949ba8"
"Financial Event","6a39fc545cde4204acae5c1415e6769b"
"OMS Environment","43ba7d4ee46941528cbe00b531be3ec4"
"Customer Transaction","8c5c804f9b734ae0952d18492a9a2dfa"
"Check","d628fb54b9574b5a8ec713ddcdddf399"
"Calculation","4d55b29affa948f5b76459fb68b9a7d3"
"Arithmetic Calculation","9abd183eeb2344fa96e1c35ac2789429"
"Instance Value Calculation","0ac3557332544829ba6713c0bf990daf"
"Pay Group Detail","cb7fd96300054340a61d727b29d9d7f7"
"Period","25fd3103d9be489f822ee67c080f3630"
"Run Category","ae2e963c4309413f8abc907dcc77d2b2"
"Personal Information Change Event","53e5fa5ea1d7428ebd5cedbf19da6a89"
"Integration Message","cc0946838f8c4629abf3c3113280752f"
"Conditional Calculation","4e85e57bdcf2497badf638375567a982"
"Calculation Condition","5fe8cab6428e4d67b6cf9b8335de1691"
"Constant Value Calculation","cd5e250430f94d16962f9b1221770ff0"
"Requisition","45c5148338f94e02927d86e58136d29b"
"Purchase Order","adebf878101e44528628d08c15a0e29f"
"Goods Requisition Line","6b8c6d688c0e4627933714914cdb37c1"
"Goods Order Line","1f1effb7a1ed4fa5ae79884739ab3412"
"Receipt","0ac8679b309a441997ddf56f81abd696"
"Goods Receipt Line","1e8455f8d77046ee99d388131ec34aa9"
"Internal User","183ee8e8542e4850be38ad36fe2ced63"
"Earning","5493bd6c080b41c1ab114a783cfcf679"
"Deduction","04e1566feb194d348a9429f4cf51dff5"
"Application Calculation","08b8f4dbbf1b4dde93bea9ec033d2934"
"Payroll Result","c67740323bba40128cac8160ef854df6"
"Payroll Result Line","daf5f23c504242adaf40945f5f9f7376"
"Pay Accumulation","38c7d574959d48c0969dfd20ea197c8f"
"Calculation (Payroll Calculation)","8c31494c721745fd84a3c907127e0462"
"Date Extract Calculation","36e28e12dd0a4735901ff495361f7aa9"
"Date Difference Calculation","aa0c6d0c95bb4a46a0408825a7288a75"
"Date Increment/Decrement Calculation","3a68d093096646a3a3a1807668ea49af"
"Constant Date Calculation","242a41ed5be543eeaaa074c529ce8431"
"Supplier Business Document","c3c4a060666041c2a7e448d95435d6b4"
"Build Date Calculation","5a451387ca2942798422ce5d8b977c4f"
"Customer Business Document","f1851d9617e949b6b110fd96ee8dfc40"
"Supplier Invoice Document","62ffc924406149c4869e6751b3a5406e"
"Customer Invoice Document","3f2ffc8e77f3437994012f358f51b394"
"Customer Invoice Line Abstract","8622190b201f42d5b81de808f9b8902e"
"Invoice Line","821be9ffb40d46d2ad853f74fd3fbb6c"
"Customer Payment Application Descriptor","5f0eda56eeca4036a022152b486697a2"
"Expense Report","617895565f8546e4a52e837c5d3d8d3c"
"Expense Report Lines and Itemizations","92e17fa82bc7436daaad0c1f8e755bb2"
"Expense Item","cb31bcc4cdb44a98816c5ed20da0ef3a"
"Expense Report Event","b854f2db7ac2404193a397cfdc1484de"
"Recurring Journal Template","54dace63e5ed4be7abc675f3327675c3"
"Requisition Event","c9b6fe2b42a8426abe88eca8e89592d6"
"Date Calculation","2eea865ad1984060a0fce6232ff98283"
"Pay Balance","db83e154efe54d959a7b82fbaf0a16c2"
"Payment","a6c15144790f4c3f8d72caad02a5af5f"
"Expense Payment","75364ea36f7c42ba9c663d07f22b2b27"
"Bank Statement Line","a5536ca4cc074b0ba6bd988a493eebcf"
"Pay Calculation Status","9a3b004c45774b94a82dcd340c8ed87d"
"Aggregate Calculation","26806fbc290e43c1913eda0a2feb53f7"
"Business Entity Contact","f245acce6b184357a4bef945a4063b96"
"Allowed Action","6ad04d0a76ce45e49c4b8fb7a975efd1"
"Payment Printing Run","9a34e20d17a64c4da8bf2f18b6f7b0e1"
"Check Print Layout (XSLT)","7d49d5f9db71448281bb67d823479a48"
"Logic Calculation","8d0d97b8d7f74502a36c6bad76227636"
"Value Comparison Calculation","efd16aa3a93f4cbb960ece128472f715"
"Custom Report","4c8b9c8a1fc84647ab9229901daf2ec4"
"Condition Item","b6feb17285af41fe83f055204d5b2aa0"
"Payment Event","d009ed99f576493dbaf869ee55a56fee"
"Balance Period","9fbf245eaba44eab8724d8dacb8b58aa"
"Custom Worktag","564a3c7b4a86458e8421d5c04dd27ea6"
"Customer","42cf5ce01bb945d48352c0964c336439"
"Supplier","94f43a951e9f4dec9e7da2e4a9820ab6"
"Pay Component","b535d6bf2ed54c1a83ce3b37938cab87"
"Business Asset","7882be23178242a0b71d33652dacd33c"
"Pay Component Group","1cdca34ee4df445fa891de53da9712cd"
"Component Eligibility","cb4abd921d6e488ba37b907fbcd413ce"
"Lookup Table Setup","91cf55a5036345cfb9e63c35d33d6c0d"
"Lookup Row","16b30c32f8264c4789f5d7e8dd9a1102"
"Lookup Calculation","529491d19cb84330b888a1e6c04666c0"
"Related Calculation","eb5ff6878d424bbdb8f0f1234ca8adb2"
"Pay Component Related Calculation","669811c6a3f644b9b3eb44f14c61749c"
"Payroll Input","d703af468606400ab3cb4211a8c92b40"
"Input Line","5f3fc8f8f3834ce0a0741c06c1a901ad"
"Employment","47617e91b6d94af3adab009bd862fb48"
"Expense Payee","d0d5f7df7a65469f8010cde66696a35c"
"User Language","c4d2e35bc81d4dd9a3e46608d94bf32a"
"Reorganization Activity","1cb6102e583e4b6f801cce5b4b443204"
"Plan Details","d43bde513b2949159dda056edc93b700"
"Plan Entry Line","c6988f419299457fb712a25cb45416c0"
"Requisition Line","30aa1637768545e8a81a5bf4eb1c7684"
"Financial Entry","da46702a559f43e4afd2fd0a8519c97c"
"Financial Line","8a624ed99e9342e6a8e489af7daceb4e"
"Payroll Tax Data Period","9c2e8267d02141c2b8c3ad682f9c170f"
"Contingent Worker Service Detail","da60b40570df4120b2661c1e78a80922"
"Bank Statement Balance","87c1f4ea7011430eaf6493d71152e3d1"
"Communication Method Usage","6c463a23f10449ce8deba47c46f58217"
"Ad Hoc Bank Transaction","f5b9aeb687554359868197cacd445074"
"Bank Account Transaction","4dc2d7f1b25d439dbe05110640b00d71"
"Period Date Indicator","0f1525db8d694772b28b9074e711faa0"
"Web Service Type","e8ed1ffdc9df4e1888aca2aa2d604959"
"Ad Hoc Bank Transaction Line","69bd7e712fee4844be5f44edf17ca0eb"
"Supplier Contract","292797a61a4b463fb58debc204992a18"
"Country","64f5923832804fff9b1c3c1b55fe3a46"
"Country Region","852776c38684424da7c50cdaa234df85"
"Country Address Component","eea7118cc6e14faa96277ba8f1444d0a"
"Contingent Worker Order Line","8fc46e832fe84f54b55199c1a554d93c"
"Purchase Order Line","a271b8a8e6f04dacb7bd527838e38f36"
"Purchase Order Event","94b9bcf23c154e3e93561d1090821e32"
"Country Person Name Component","4ef87f01a83f43fd875101f39c2fd78f"
"Currency","068c210fed5f44a9916cf97dbd33893f"
"Time Off","ea831cd0abe64d03be50f302840f4fa9"
"Accrual","6dd2040e879d4945a95b2db35edbdf8d"
"Compensation Step","28c629cc88dc47f88881d1cbe217953e"
"Currency Rate Type","fb0eb54ae96c4913b7f25f3c5050f1d0"
"Currency Conversion Rate","e1963cb123014ef89ec308becc9a99c1"
"Worker Tax Election","c703d5039fd948949af96ec8fb46190b"
"Payroll Payee W-4","86a1ec83709340baa19d8bc0c322ec0a"
"Payroll Tax Authority","bdcc3acfe4104953b2c9ac06e53c26de"
"Payroll State Authority","635a30f501ee4711b1b3b64561cd01c4"
"Payroll Local County Authority","a2763c449d6a421290d2b46475a51297"
"Payroll Local City Authority","c2a8cf3892944de594e8a4c0b3d93520"
"Payroll Local School District Authority","a5f86c20c2ed4fca9a2aa3783fa01290"
"Payroll Other Authority","0598df3b49114261a5a7631bc2da477f"
"Receipt Line","3c489732e9094992ae6806782a7a84a7"
"Contingent Worker Receipt Line","2d635c146ea64d4aad985794a43f3201"
"Project-Based Receipt Line","64d1a9d579534390ab44f72594004e74"
"Project Subtask","3b118e0643c0434cacb37160b893e641"
"Project Plan Task","8c48cc7912b1402d9bc36ce4acd40420"
"Project","384acb3cee244231a79f41efdfa970fd"
"Time Off Plan","955f462689e84bb498e8807c86517905"
"Condition Rule","6dad62d6e6414457b4c7c2d719bb2e5e"
"Insurance Rate","0c1b1d3205884c36bb212ca6acdd44d9"
"Insurance Fixed Rate","c4430fcd0fcb40179871472ffb2844ea"
"Insurance Banded Rate","dad481265e574aed9292b0c6ada2bc01"
"Benefit Rate Band","b15f162d8fc7426a816c1f0d952ab0d2"
"Project-Based Order Line","454a37ada7694f479b2ab91c0c76e7e1"
"Matrix Organization","ad1a7764748547578055608acb96c5d0"
"Project-Based Service Detail","1db90822fb7e4265b79b4823a4658b95"
"Bank Account Transfer Line","5a53b92c06fb45968337a3c7c5e39337"
"Translation Item","437693afda084ef18460f056fe63335d"
"Benefit Rounding Rule","947ddf73137a4ad39015c9acffbfc7ca"
"Depreciation Profile","085d020191084b389d7c504838247afb"
"Disability","c2ada189f93147bf81bd71dd3233715c"
"Supplier Request","6340b3e9910d40d0af52f19f96a7cee5"
"Payment Message","25556a88a3c04ffd8d2db44b83c56810"
"Settlement Instruction Bank Account","3fb7928ae2b64678a4a9a69b63946b55"
"Account","3ddea93091814bb385920c7fe1cf70c2"
"Pay Group","4274d8c865f04b399716c4d49b619d8b"
"Payment Election Rule","a8a233a43f4b44d1ad7325a68248255d"
"Payment Election","041ef3894d734718ac8cf12685cc9f32"
"Absence Balance","c4b39557779b4d918542da9fdf473714"
"Asset Registration Event","15ce8d1a449b495185d6fec111e6e52a"
"Integration Process Event","e638f2f1e8c34fa6b4abf813ae1f02da"
"Matrix Organization Event","4be59c33d343469985ffe9fa93994439"
"Recoup Arrears Rule","2f0bcdea9ec14c2c86c28ab48d998ce3"
"Calculation Transaction Fault","21d32d36bf9243c1bd5b7bea2f838653"
"Payment Election Enrollment","b447445d74a2449e941b913f1c092613"
"Insurance Coverage Master Amount","3cfa65bd38c942d28093d0c5a66b9aa5"
"Military Service","1973ff47aebf493ba409a6b3efa322fd"
"Payroll Tax Allowance Data Basic","201f8310a41347d19d76a7b0e7c8bf0d"
"Implementation Object","0cf6f53b301147818c8de49fdcdfe5dc"
"Depreciation Expense Line","45eb15964ee746c291665d8f4528cd69"
"Component Scheduling","b4e18de6404f4a238786f94b39b6ad71"
"Company Insider Type","30188a58608c45bba32df750e448b2c7"
"Allowance Plan","fe946ffd1e0449a2bf6ac4e87b26a3f1"
"Depreciation Transaction","6c6a15d6c23f4cd0b56a1e9e784fafbb"
"Absence Component","994229e9918c459da1c9f004718cc813"
"Time Off Plan Balance","596ef6b2a35e451ea0c0a25ba7f79227"
"Global","11b6b423ad17489586095a0f6708ed2e"
"Payroll Payee School District","9d6a54da29e340ccacc14227bbc79425"
"Instance Set Comparison Calculation","2b1d8bf9982141658f5d16101ed15125"
"Payroll Payment","8fe7d9fa074145adb6589c315649173b"
"Payment Release Event","8d5d3cc8563746caa5b10b760a23270f"
"Condition Rule Test Class Base","19299b7855ce409dabcf008ae88ef137"
"Condition Rule Test Class A","2b50f1c7c61441faa5f2600c599e6950"
